country,issuing_authority_en,issuing_authority_ar,date_gregorian,title_extracted,source_url,local_filename,sha256,pages_total,retrieved_at_utc
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-03-28,ركشلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_الشكر_28-3-2025.pdf,pdfs/2025-03-28 - ركشلا.pdf,ce5ddab183c8de7d838db26fc8266c51c2b5e46bb75dd96e0b407f81c510161e,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-04-04,ﺓﺪﺣﻮﻤﻟﺍ ﺔﻌﻤﺠﻟﺍ ﺔﺒﻄﺧ ﻥﺍﻮﻨﻋ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_القرآن_قراءته_4-4-2025.pdf,pdfs/2025-04-04 - ﺓﺪﺣﻮﻤﻟﺍ ﺔﻌﻤﺠﻟﺍ ﺔﺒﻄﺧ ﻥﺍﻮﻨﻋ.pdf,ecd137a19857fcf834212dbb8c9ef01fca19c9cc47a3d904b205a89365bca883,14,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-04-11,يّب مارلحاو يّب للالحا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/الحلال_بيّن_والحرام_بيّن_11-4-2025.pdf,pdfs/2025-04-11 - يّب مارلحاو يّب للالحا.pdf,82b3363a4f3d4611c457e7ce7bc9e7f9afd69e0546cbeb5d35f45119bd30ad89,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-04-18,رافغتسلاا ديس,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/الاستغفار_وأذكاره_18-4-2025.pdf,pdfs/2025-04-18 - رافغتسلاا ديس.pdf,81b56ad40b3ea8b68f53a8778fbe287e57a6bbb876067eaa40fafd7212027ab7,12,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-04-25,تالحاصلا تايقابلاو هلضفو ركذلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/الباقيات_الصالحات_25-4-2025.pdf,pdfs/2025-04-25 - تالحاصلا تايقابلاو هلضفو ركذلا.pdf,cd6d3d970f1ebecd6da9f90678c55b47d2e2f640cbeb90cd965ba986c996c4b6,13,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-05-02,هل دادعتسلااو تولما ركذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/ذكر_الموت_والاستعداد_له_2-5-2025.pdf,pdfs/2025-05-02 - هل دادعتسلااو تولما ركذ.pdf,c94e86c86d75869f69cae78895a600aadf717b9b2928889d22b8a100ad3d6ec7,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-05-09,محرلا ةلصو نيدلاولا رب,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_بر_الوالدين_وصلة_الأرحام_9-5-2025.pdf,pdfs/2025-05-09 - محرلا ةلصو نيدلاولا رب.pdf,539ff16628c81056057adf24ab35031a329f6c48c3a053dc90da29033d2a5907,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-05-16,ﷺ الله لوسر ناديس ةبمح بوجو,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/وجوب_محبة_النبي_صلى_الله_عليه_وسلم_16-5-2025.pdf,pdfs/2025-05-16 - ﷺ الله لوسر ناديس ةبمح بوجو.pdf,fe105e865704da442c8f4b039547cb77908a5dac575b894b51fde7633bd3e51c,14,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-05-23,هرارسأو هماكحأ :جلحا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/الحج_أحكامه_وأسراره_23-5-2025.pdf,pdfs/2025-05-23 - هرارسأو هماكحأ جلحا.pdf,e329d4fb435ac750ec3b7ae19030097a318079484311c8bad8a33a2de7467c67,13,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-05-30,ةفرع مويو ةجحلا يذ نم رشعلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/العشر_من_ذي_الحجة_30-5-2025.pdf,pdfs/2025-05-30 - ةفرع مويو ةجحلا يذ نم رشعلا لضف.pdf,9daf654e5307c97dd6a3683acdcd9a04556ef2015382fc4382b30b195e80f9a3,11,2026-02-09T20:28:38Z
